# Tag name          ;  color
FM                  ; #00ff00
VHF                 ; #729fcf
DVB                 ; #c0c0c0
Mobile              ; #eeeeec
ISM                 ; #edd400
HAM                 ; #fce94f
VHF Marine          ; #c07010
RC                  ; #c0c0c0
AM                  ; #a0a0a0
Unknown             ; #c0c0c0
ADSB                ; #0000ff

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
      558000; AM                       ; AM                  ;      10000; AM
      576000; AM                       ; AM                  ;      10000; AM
      585000; AM                       ; AM                  ;      10000; AM
      603000; AM                       ; AM                  ;      10000; AM
      630000; AM                       ; AM                  ;      10000; AM
      639000; AM                       ; AM                  ;      10000; AM
      657000; AM                       ; AM                  ;      10000; AM
      666000; AM                       ; AM                  ;      10000; AM
      675000; AM                       ; AM                  ;      10000; AM
      693000; AM                       ; AM                  ;      10000; AM
      711000; AM                       ; AM                  ;      10000; AM
      738000; AM                       ; AM                  ;      10000; AM
      747000; AM                       ; AM                  ;      10000; AM
      783000; AM                       ; AM                  ;      10000; AM
      846000; UAQ Quran                ; AM                  ;      10000; AM
      882000; AM                       ; AM                  ;      10000; AM
      918000; AM                       ; AM                  ;      10000; AM
     1017000; AM                       ; AM                  ;      10000; AM
     1062000; AM                       ; AM                  ;      10000; AM
     1152000; RAK Voice of Kerala      ; AM                  ;      10000; AM
     1224000; AM                       ; AM                  ;      10000; AM
     1242000; AM                       ; AM                  ;      10000; AM
     1440000; AM                       ; AM                  ;      10000; AM
     1476000; RAK Radio Asia           ; AM                  ;      10000; AM
     3750000; HAM 80m                  ; Narrow FM           ;      10000; HAM
     6780000; ISM 6.78 MHz             ; Demod Off           ;      30000; ISM
     7000000; HAM 40m                  ; Narrow FM           ;      10000; HAM
    13560000; ISM 13.56MHz - RFID      ; Demod Off           ;      14000; ISM
    13859900; Signal                   ; Narrow FM           ;      10000; Unknown
    14000000; HAM 20m                  ; Narrow FM           ;      10000; HAM
    21000000; HAM 15m                  ; Narrow FM           ;      10000; HAM
    27120000; ISM 27 MHz - RC          ; Demod Off           ;     326000; ISM
    28000000; HAM 10m                  ; Narrow FM           ;      10000; HAM
    38686000; RC Car                   ; Demod Off           ;     240000; RC
    40680000; ISM 40 MHz               ; Demod Off           ;      40000; ISM
    87600000; 87.6 RAKQuran            ; WFM (stereo)        ;     240000; FM
    87900000; 87.9 AD Classic Music    ; WFM (stereo)        ;     240000; FM
    88200000; 88.2 AD Quran            ; WFM (stereo)        ;     240000; FM
    88800000; 88.8 DXB Radio Mirchi    ; WFM (stereo)        ;     240000; FM
    89100000; 89.1 AJM Radio 4         ; WFM (stereo)        ;     240000; FM
    89400000; 89.4 RAK Tamil FM        ; WFM (stereo)        ;     240000; FM
    89600000; 89.6 Music               ; WFM (stereo)        ;     240000; FM
    90500000; 90.5 AD SkyNews Arabia   ; WFM (stereo)        ;     240000; FM
    90700000; 90.7 FUJ Rock Radio      ; WFM (stereo)        ;     240000; FM
    91100000; 91.1 DXB Tag 91.1        ; WFM (stereo)        ;     240000; FM
    91400000; 91.4 DXB Quran           ; WFM (stereo)        ;     240000; FM
    91600000; 91.6                     ; WFM (stereo)        ;     240000; FM
    92000000; 92.0 FUJ ??              ; WFM (stereo)        ;     240000; FM
    92200000; 92.2 AD Quran            ; WFM (stereo)        ;     160000; FM
    92300000; 92.3 - JIO FM            ; WFM (stereo)        ;     240000; FM
    92600000; 92.6 FUJ FM              ; WFM (stereo)        ;     240000; FM
    93000000; 93.0 DXB Radio93         ; WFM (stereo)        ;     240000; FM
    93400000; 93.4 SHOMA934            ; WFM (stereo)        ;     240000; FM
    93900000; 93.9 DXB NOOR            ; WFM (stereo)        ;     240000; FM
    94400000; 94.4 SHJ Sharjah         ; WFM (stereo)        ;     240000; FM
    94700000; 94.7 Radio Asia          ; WFM (stereo)        ;     240000; FM
    95000000; 95.0 SHJ Pulse95         ; WFM (stereo)        ;     240000; FM
    95600000; 95.6 UAQ Radio Hala      ; WFM (stereo)        ;     240000; FM
    96000000; 96.0 -                   ; WFM (stereo)        ;     240000; FM
    96700000; 96.7 DXB Hit967          ; WFM (stereo)        ;     240000; FM
    97100000; 97.1 AD Emarat FM        ; WFM (stereo)        ;     240000; FM
    97400000; 97.4 -                   ; WFM (stereo)        ;     240000; FM
    97600000; 97.6 AD Zayed Quran      ; WFM (stereo)        ;     240000; FM
    97800000; 97.8 Dance FM            ; WFM (stereo)        ;     240000; FM
    98200000; 98.2 -                   ; WFM (stereo)        ;     240000; FM
    98400000; 98.4 AD FM               ; WFM (stereo)        ;     240000; FM
    99100000; 99.1 DXB Arabiya         ; WFM (stereo)        ;     240000; FM
    99300000; 99.3 -                   ; WFM (stereo)        ;     160000; FM
    99600000; 99.6 DXB Club FM         ; WFM (stereo)        ;     240000; FM
    99900000; 99.9 Star FM             ; WFM (stereo)        ;     240000; FM
   100300000; 100.3 UAQ JIO FM         ; WFM (stereo)        ;     240000; FM
   100600000; 100.6                    ; WFM (stereo)        ;     240000; FM
   100900000; 100.9 Khalejya           ; WFM (stereo)        ;     240000; FM
   101000000; 101.0                    ; WFM (stereo)        ;     240000; FM
   101300000; 101.3 AJM Gold FM        ; WFM (stereo)        ;     240000; FM
   101600000; 101.6 City1016           ; WFM (stereo)        ;     240000; FM
   101900000; 101.9 -                  ; WFM (stereo)        ;     160000; FM
   102000000; 102.0 Pearl              ; WFM (stereo)        ;     240000; FM
   102400000; 102.4 Suno1024 FM        ; WFM (stereo)        ;     240000; FM
   102700000; 102.7 SHJ Quran          ; WFM (stereo)        ;     240000; FM
   103000000; 103.0                    ; WFM (stereo)        ;     240000; FM
   103200000; 103.2                    ; WFM (stereo)        ;     240000; FM
   103500000; 103.5 RAK FM             ; WFM (stereo)        ;     240000; FM
   103800000; 103.8 DXB Eye            ; WFM (stereo)        ;     240000; FM
   104100000; 104.1 Radio 1            ; WFM (stereo)        ;     160000; FM
   104400000; 104.4 DXB Virgin         ; WFM (stereo)        ;     240000; FM
   104600000; 104.6 AD SkyNews Arabia  ; WFM (stereo)        ;     240000; FM
   104800000; 104.8 AJM Channel 4      ; WFM (stereo)        ;     240000; FM
   105400000; 105.4 FUJ Radio Spice    ; WFM (stereo)        ;     240000; FM
   106200000; 106.2 UAQ - Big FM       ; WFM (stereo)        ;     240000; FM
   106500000; 106.5 UAQ - Radio Gilli  ; WFM (stereo)        ;     240000; FM
   107100000; 107.1 UAQ - Heart FM     ; WFM (stereo)        ;     240000; FM
   107400000; 107.4 DXB ALOula         ; WFM (stereo)        ;     240000; FM
   107600000; 107.6 ClubFM             ; WFM (stereo)        ;     226000; FM
   107800000; 107.8 AJM Al Rabia FM    ; WFM (stereo)        ;     240000; FM
   144000000; HAM 2m                   ; Narrow FM           ;      10000; HAM
   156025000; 60-TX                    ; Narrow FM           ;      50000; VHF Marine
   156050000; 01-TX                    ; Narrow FM           ;      50000; VHF Marine
   156075000; 61-TX                    ; Narrow FM           ;      50000; VHF Marine
   156100000; 02-TX                    ; Narrow FM           ;      50000; VHF Marine
   156125000; 62-TX                    ; Narrow FM           ;      50000; VHF Marine
   156150000; 03-TX                    ; Narrow FM           ;      50000; VHF Marine
   156175000; 63-TX                    ; Narrow FM           ;      50000; VHF Marine
   156200000; 04-TX                    ; Narrow FM           ;      50000; VHF Marine
   156225000; 64-TX                    ; Narrow FM           ;      50000; VHF Marine
   156250000; 05-TX                    ; Narrow FM           ;      50000; VHF Marine
   156275000; 65-TX                    ; Narrow FM           ;      50000; VHF Marine
   156300000; 06-TX                    ; Narrow FM           ;      50000; VHF Marine
   156325000; 66-TX                    ; Narrow FM           ;      50000; VHF Marine
   156350000; 07-TX                    ; Narrow FM           ;      50000; VHF Marine
   156375000; 67-TX                    ; Narrow FM           ;      50000; VHF Marine
   156375000; 67-RX                    ; Narrow FM           ;      50000; VHF Marine
   156400000; 08-TX                    ; Narrow FM           ;      50000; VHF Marine
   156425000; 68-TX                    ; Narrow FM           ;      50000; VHF Marine
   156425000; 68-RX                    ; Narrow FM           ;      50000; VHF Marine
   156450000; 09-TX                    ; Narrow FM           ;      50000; VHF Marine
   156475000; 69-TX                    ; Narrow FM           ;      50000; VHF Marine
   156475000; 69-RX                    ; Narrow FM           ;      50000; VHF Marine
   156500000; 10-TX                    ; Narrow FM           ;      50000; VHF Marine
   156525000; 70-TX                    ; Narrow FM           ;      50000; VHF Marine
   156525000; 70-RX                    ; Narrow FM           ;      50000; VHF Marine
   156550000; 11-TX                    ; Narrow FM           ;      50000; VHF Marine
   156575000; 71-TX                    ; Narrow FM           ;      50000; VHF Marine
   156575000; 71-RX                    ; Narrow FM           ;      50000; VHF Marine
   156600000; 12-TX                    ; Narrow FM           ;      50000; VHF Marine
   156625000; 72-TX                    ; Narrow FM           ;      50000; VHF Marine
   156625000; 72-RX                    ; Narrow FM           ;      50000; VHF Marine
   156650000; 13-TX                    ; Narrow FM           ;      50000; VHF Marine
   156675000; 73-TX                    ; Narrow FM           ;      50000; VHF Marine
   156675000; 73-RX                    ; Narrow FM           ;      50000; VHF Marine
   156700000; 14-TX                    ; Narrow FM           ;      50000; VHF Marine
   156725000; 74-TX                    ; Narrow FM           ;      50000; VHF Marine
   156725000; 74-RX                    ; Narrow FM           ;      50000; VHF Marine
   156750000; 15-TX                    ; Narrow FM           ;      50000; VHF Marine
   156775000; 75-TX                    ; Narrow FM           ;      50000; VHF Marine
   156775000; 75-RX                    ; Narrow FM           ;      50000; VHF Marine
   156800000; 16-TX                    ; Narrow FM           ;      50000; VHF Marine
   156825000; 76-TX                    ; Narrow FM           ;      50000; VHF Marine
   156825000; 76-RX                    ; Narrow FM           ;      50000; VHF Marine
   156850000; 17-TX                    ; Narrow FM           ;      50000; VHF Marine
   156875000; 77-TX                    ; Narrow FM           ;      50000; VHF Marine
   156875000; 77-RX                    ; Narrow FM           ;      50000; VHF Marine
   156900000; 18-TX                    ; Narrow FM           ;      50000; VHF Marine
   156925000; 78-TX                    ; Narrow FM           ;      50000; VHF Marine
   156950000; 19-TX                    ; Narrow FM           ;      50000; VHF Marine
   156975000; 79-TX                    ; Narrow FM           ;      50000; VHF Marine
   157000000; 20-TX                    ; Narrow FM           ;      50000; VHF Marine
   157025000; 80-TX                    ; Narrow FM           ;      50000; VHF Marine
   157050000; 21-TX                    ; Narrow FM           ;      50000; VHF Marine
   157075000; 81-TX                    ; Narrow FM           ;      50000; VHF Marine
   157100000; 22-TX                    ; Narrow FM           ;      50000; VHF Marine
   157125000; 82-TX                    ; Narrow FM           ;      50000; VHF Marine
   157150000; 23-TX                    ; Narrow FM           ;      50000; VHF Marine
